date	number
09-01-2021	79
09-02-2021	80
09-03-2021	82
09-04-2021	84
09-05-2021	84
09-06-2021	88
09-07-2021	87
09-08-2021	88
09-09-2021	90
09-10-2021	92
09-11-2021	93
09-12-2021	94
09-13-2021	96
09-14-2021	97
09-15-2021	97
09-16-2021	99
09-17-2021	99
09-18-2021	100
09-19-2021	101
09-20-2021	102
09-21-2021	103
09-22-2021	104
09-23-2021	105
09-24-2021	105
09-25-2021	106
09-26-2021	107
09-27-2021	108
09-28-2021	109
09-29-2021	110
09-30-2021	112
10-01-2021	113
10-02-2021	114
10-03-2021	115
10-04-2021	116
10-05-2021	118
10-06-2021	119
10-07-2021	121
10-08-2021	123
10-09-2021	125
10-10-2021	126
10-11-2021	128
10-12-2021	129
10-13-2021	132
10-14-2021	132
10-15-2021	134
10-16-2021	135
10-17-2021	137
10-18-2021	139
10-19-2021	142
10-20-2021	145
10-21-2021	148
10-22-2021	150
10-23-2021	153
10-24-2021	154
10-25-2021	156
10-26-2021	159
10-27-2021	161
10-28-2021	164
10-29-2021	167
10-30-2021	169
10-31-2021	170
11-01-2021	172
11-02-2021	175
11-03-2021	178
11-04-2021	178
11-05-2021	184
11-06-2021	186
11-07-2021	187
11-08-2021	190
11-09-2021	194
11-10-2021	197
11-11-2021	201
11-12-2021	205
11-13-2021	208
11-14-2021	210
